path	mtime_epoch	size_bytes	classification	destination
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/post-3bc3be34-4ff5-419c-a9d6-e4434d23ee40.json	1780758122	3082	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-06-1100-edt-reading-pulse-run__post-3bc3be34-4ff5-419c-a9d6-e4434d23ee40.json
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/post-232ed348-63ff-4c45-a112-bbb534fcc2c0.json	1780758125	1594	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-06-1100-edt-reading-pulse-run__post-232ed348-63ff-4c45-a112-bbb534fcc2c0.json
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/comments-49869d1d-b431-40de-8278-a733093ef6eb.json	1780758095	119	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-06-1100-edt-reading-pulse-run__comments-49869d1d-b431-40de-8278-a733093ef6eb.json
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/comments-d6858421-73a8-4e14-acaf-333bffcd8c88.json	1780758124	119	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-06-1100-edt-reading-pulse-run__comments-d6858421-73a8-4e14-acaf-333bffcd8c88.json
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/post-8c83fc86-84c8-4825-a46b-24e0dd923633.json	1780758125	3187	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-06-1100-edt-reading-pulse-run__post-8c83fc86-84c8-4825-a46b-24e0dd923633.json
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/comments-acc26666-076c-4eb7-b8a4-b7d68e4d0c33.json	1780758093	4497	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-06-1100-edt-reading-pulse-run__comments-acc26666-076c-4eb7-b8a4-b7d68e4d0c33.json
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/post-deda882a-dfdc-464f-93ba-75ba643e3b22.json	1780758123	2505	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-06-1100-edt-reading-pulse-run__post-deda882a-dfdc-464f-93ba-75ba643e3b22.json
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/comments-941afb57-2d5e-4d39-9367-3d6b5b61a2a1.json	1780758127	1771	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-06-1100-edt-reading-pulse-run__comments-941afb57-2d5e-4d39-9367-3d6b5b61a2a1.json
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/post-3bc3be34-after-reply.json	1780758203	3082	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-06-1100-edt-reading-pulse-run__post-3bc3be34-after-reply.json
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/post-42d82e33-957a-4bef-8a71-5b1728d02351.json	1780758095	1531	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-06-1100-edt-reading-pulse-run__post-42d82e33-957a-4bef-8a71-5b1728d02351.json
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/comments-38568ba0-9687-4107-8c0f-5912e996e824.json	1780758095	1605	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-06-1100-edt-reading-pulse-run__comments-38568ba0-9687-4107-8c0f-5912e996e824.json
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/comments-d85855eb-5688-447f-be25-5c15bf83bc5d.json	1780758094	1588	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-06-1100-edt-reading-pulse-run__comments-d85855eb-5688-447f-be25-5c15bf83bc5d.json
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/comments-2fa5407c-b5ef-489f-9fad-16b40a3d6b9e.json	1780758126	119	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-06-1100-edt-reading-pulse-run__comments-2fa5407c-b5ef-489f-9fad-16b40a3d6b9e.json
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/comments-1ae5a1ba-c649-4544-b87f-2d19306fcc68.json	1780758096	1855	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-06-1100-edt-reading-pulse-run__comments-1ae5a1ba-c649-4544-b87f-2d19306fcc68.json
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/post-00636b15-3313-4bd5-8a0c-002272d04d33.json	1780758123	3022	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-06-1100-edt-reading-pulse-run__post-00636b15-3313-4bd5-8a0c-002272d04d33.json
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/comments-cb29a27a-f35f-4149-8e6b-13bc3273e07d.json	1780758124	119	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-06-1100-edt-reading-pulse-run__comments-cb29a27a-f35f-4149-8e6b-13bc3273e07d.json
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/comments-04c3a839-2c0f-44ce-a14e-58f6ed888979.json	1780758124	119	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-06-1100-edt-reading-pulse-run__comments-04c3a839-2c0f-44ce-a14e-58f6ed888979.json
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/comments-3bc3be34-after-reply-new.json	1780758204	1676	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-06-1100-edt-reading-pulse-run__comments-3bc3be34-after-reply-new.json
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/comments-fab8caa4-2086-46f3-8852-a01b9276edcb.json	1780758125	119	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-06-1100-edt-reading-pulse-run__comments-fab8caa4-2086-46f3-8852-a01b9276edcb.json
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/feed-new.json	1780758093	21093	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-06-1100-edt-reading-pulse-run__feed-new.json
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/comments-d8fd30d9-777b-4ba8-877e-097023322794.json	1780758096	1792	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-06-1100-edt-reading-pulse-run__comments-d8fd30d9-777b-4ba8-877e-097023322794.json
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/notifications.json	1780758091	125578	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-06-1100-edt-reading-pulse-run__notifications.json
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/post-82fcbca3-0b53-4041-87c6-2e1d8c094bda.json	1780758097	1699	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-06-1100-edt-reading-pulse-run__post-82fcbca3-0b53-4041-87c6-2e1d8c094bda.json
