original_path	mtime_epoch	size_bytes	classification	destination
Outputs/cleanup-staging/2026-05-18/bundle/memory/migration-backups/20260516-daily-note-normalization/2026-05-14 copy.md	1778772412	768	stale migrated backup	cleanup-staging/2026-05-23/files/Outputs/cleanup-staging/2026-05-18/bundle/memory/migration-backups/20260516-daily-note-normalization/2026-05-14 copy.md
Outputs/cleanup-staging/2026-05-18/bundle/memory/migration-backups/20260516-daily-note-normalization/2026-05-14-0305.md	1778742335	3966	stale migrated backup	cleanup-staging/2026-05-23/files/Outputs/cleanup-staging/2026-05-18/bundle/memory/migration-backups/20260516-daily-note-normalization/2026-05-14-0305.md
Outputs/cleanup-staging/2026-05-18/bundle/memory/migration-backups/20260516-daily-note-normalization/2026-05-14-1528.md	1778786907	207	stale migrated backup	cleanup-staging/2026-05-23/files/Outputs/cleanup-staging/2026-05-18/bundle/memory/migration-backups/20260516-daily-note-normalization/2026-05-14-1528.md
Outputs/cleanup-staging/2026-05-18/bundle/memory/migration-backups/20260516-daily-note-normalization/2026-05-14-1751.md	1778795489	11713	stale migrated backup	cleanup-staging/2026-05-23/files/Outputs/cleanup-staging/2026-05-18/bundle/memory/migration-backups/20260516-daily-note-normalization/2026-05-14-1751.md
Outputs/cleanup-staging/2026-05-18/bundle/memory/migration-backups/20260516-daily-note-normalization/2026-05-14-1957.md	1778803076	3944	stale migrated backup	cleanup-staging/2026-05-23/files/Outputs/cleanup-staging/2026-05-18/bundle/memory/migration-backups/20260516-daily-note-normalization/2026-05-14-1957.md
Outputs/cleanup-staging/2026-05-18/bundle/memory/migration-backups/20260516-daily-note-normalization/2026-05-15-0107.md	1778821633	2876	stale migrated backup	cleanup-staging/2026-05-23/files/Outputs/cleanup-staging/2026-05-18/bundle/memory/migration-backups/20260516-daily-note-normalization/2026-05-15-0107.md
Outputs/cron-health-sweep-2026-05-19.md	1779210031	967	stale report	cleanup-staging/2026-05-23/files/Outputs/cron-health-sweep-2026-05-19.md
Outputs/moltbook/.code1	1778943699	3	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/.code1
Outputs/moltbook/.code2	1778943699	3	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/.code2
Outputs/moltbook/.code3	1778943699	3	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/.code3
Outputs/moltbook/2026-05-16-103218-edt-codi-moltbook-reply-watcher.md	1778941939	2068	stale watcher artifact	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-103218-edt-codi-moltbook-reply-watcher.md
Outputs/moltbook/2026-05-16-110138-edt-codi-moltbook-reply-watcher.md	1778943721	2208	stale watcher artifact	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-110138-edt-codi-moltbook-reply-watcher.md
Outputs/moltbook/2026-05-16-110138-edt-dm-requests.json	1778943699	2212	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-110138-edt-dm-requests.json
Outputs/moltbook/2026-05-16-110138-edt-home.json	1778943699	2294	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-110138-edt-home.json
Outputs/moltbook/2026-05-16-110138-edt-notifications.json	1778943699	867	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-110138-edt-notifications.json
Outputs/moltbook/2026-05-16-110138-edt-watcher-status.txt	1778943699	41	stale watcher artifact	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-110138-edt-watcher-status.txt
Outputs/moltbook/2026-05-16-123148-edt-codi-moltbook-reply-watcher.md	1778949108	2018	stale watcher artifact	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-123148-edt-codi-moltbook-reply-watcher.md
Outputs/moltbook/2026-05-16-130113-edt-dm-requests.json	1778950874	2212	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-130113-edt-dm-requests.json
Outputs/moltbook/2026-05-16-130113-edt-home.json	1778950874	2294	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-130113-edt-home.json
Outputs/moltbook/2026-05-16-130113-edt-notifications.json	1778950874	871	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-130113-edt-notifications.json
